#gene1 gene2
CKB CKM
CILP BATF2
CERS4 FER1L5
CEP170B MIF
CDRT1 FBXW10
CDK3 WDR1
CD1E CD1B
CCDC93 SFTPA2
CASR PHACTR4
CARMIL3 HDAC5
CAMTA2 LOXL4
CACNA1I MMP2
CACNA1C RAD21
CACNA1C ARPC1B
CABP2 SCGB3A1
CABIN1 MSANTD1
BPIFA1 GEMIN4
BNIP1 RNF213
BAIAP3 FBXL19
AZI2 TULP3
ATP13A2 GALNT2
ATG4D MPRIP
ASH1L KNTC1
ARF1 VPS72
ANO9 CHD4
AMOT NLE1
ADAMTS12 EMC1
ACTN4 RPN2
ABR SCN8A
